Text,Label
"ما الطقس اليوم؟","الطقس اليوم مشمس ودرجة الحرارة 28 مئوية."
"إيه درجة الحرارة؟","درجة الحرارة اليوم 28 مئوية."
"هل هيمطر النهاردة؟","لا، الطقس مشمس ولا يوجد توقع للمطر."
"إيه التاريخ اليوم؟","اليوم السبت, 19 أبريل 2025."
"النهاردة كام في الشهر؟","النهاردة 19 أبريل 2025."
"إيه اليوم؟","اليوم السبت."
"المنتج رائع وسهل الاستخدام","أنا سعيد إن المنتج عجبك! هل عايز تعرف أكتر عن ميزاته؟"
"الخدمة سيئة جدًا","آسف جدًا على تجربتك السيئة، ممكن تشرحلي المشكلة عشان نساعدك؟"
"تجربة ممتازة، أنصح به","شكرًا على رأيك الجميل! سعيدين إن التجربة عجبتك."
"التطبيق بطيء ومليء بالأخطاء","آسف على المشكلة دي، هنشتغل على تحسين التطبيق. ممكن تعطيني تفاصيل أكتر؟"
"الأداء عادي لا بأس به","شكرًا على رأيك، هنحاول نطور الأداء في التحديثات الجاية."
"منتج جيد بس السعر مرتفع","أقدر رأيك، هنحاول نعمل عروض وخصومات قريب. عايز تعرف عن منتجات تانية؟"
"التوصيل تأخر كثيرًا","آسف جدًا على التأخير، ممكن ترسلي رقم الطلب عشان نتابعهولك؟"
"كل شيء تمام ومريح","فرحانين إن كل حاجة عجبتك! عايز تعرف عن خدماتنا الجديدة؟"
"الدعم الفني غير متجاوب","آسف على التجربة دي، ممكن تكلّميني مباشرة عشان أساعدك؟"
"تجربة لا بأس بها","شكرًا على رأيك، هنحاول نطور الخدمة عشان تكون أحسن المرة الجاية."
"ما هي مواعيد العمل؟","مواعيد العمل من 9 الصبح لـ 5 المسا، من الأحد للخميس."
"أحتاج مساعدة فورية في إصلاح المشكلة","تمام، ممكن تشرحلي المشكلة بالتفصيل وهنساعدك على طول."
"المنتج وصل تالف، أريد استبداله","آسف جدًا على المشكلة، ممكن ترسلي رقم الطلب وصورة للمنتج عشان نرتب الاستبدال؟"
"الخدمة كانت ممتازة، شكرًا لكم","شكرًا على كلامك الجميل! سعيدين بخدمتك."
